--- When using SR data, please cite us and provide a link and/or a mention.


 
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,37,0.97,149,112,75.2,22,8,8,15,39.5,2,2,0,0,0.0
Bologna,2,38,38,3420,38.0,47,1.24,106,60,55.7,16,14,8,12,31.6,3,2,1,0,33.3
Cagliari,4,38,38,3420,38.0,56,1.47,153,97,63.4,9,9,20,7,18.4,6,6,0,0,0.0
Como,3,38,38,3420,38.0,52,1.37,143,91,63.6,13,10,15,7,18.4,7,7,0,0,0.0
Empoli,3,38,38,3420,38.0,59,1.55,158,99,62.7,6,13,19,6,15.8,3,1,1,1,50.0
Fiorentina,2,38,38,3420,38.0,41,1.08,148,106,72.3,19,8,11,12,31.6,3,1,2,0,66.7
Genoa,4,38,38,3420,38.0,49,1.29,158,110,69.0,10,13,15,11,28.9,8,6,2,0,25.0
Hellas Verona,2,38,38,3420,38.0,66,1.74,172,106,61.6,10,7,21,8,21.1,4,2,1,1,33.3
Inter,2,38,38,3420,38.0,35,0.92,130,95,73.1,24,9,5,16,42.1,4,3,1,0,25.0
Juventus,2,38,38,3420,38.0,35,0.92,119,84,70.6,18,16,4,17,44.7,5,5,0,0,0.0
Lazio,2,38,38,3420,38.0,49,1.29,119,72,58.8,18,11,9,9,23.7,4,4,0,0,0.0
Lecce,1,38,38,3420,38.0,58,1.53,181,125,68.0,8,10,20,9,23.7,10,8,1,1,11.1
Milan,2,38,38,3420,38.0,43,1.13,144,101,70.1,18,9,11,13,34.2,2,1,1,0,50.0
Monza,3,38,38,3420,38.0,69,1.82,183,115,62.3,3,9,26,3,7.9,4,2,2,0,50.0
Napoli,3,38,38,3420,38.0,27,0.71,96,69,71.9,24,10,4,19,50.0,4,1,2,1,66.7
Parma,2,38,38,3330,38.0,58,1.57,158,102,63.3,7,15,16,7,18.4,5,5,0,0,0.0
Roma,1,38,38,3420,38.0,35,0.92,151,117,76.8,20,9,9,16,42.1,4,4,0,0,0.0
Torino,2,38,38,3420,38.0,45,1.18,180,133,75.0,10,14,14,10,26.3,7,3,4,0,57.1
Udinese,3,38,38,3420,38.0,56,1.47,164,113,65.9,12,8,18,9,23.7,8,7,0,1,0.0
Venezia,3,38,38,3420,38.0,56,1.47,188,134,70.2,5,14,19,6,15.8,11,10,1,0,9.1


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2024-2025/2024-2025-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_keeper_for">View Original Table</a><br>Generated 8/26/2026.
