--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
26,Kristjan Asllani,al ALB,MF,Inter,22,2002,11.0,4,0,0,9,19,0,41,8,4,,,0,Matches,0fdcef0e
27,Arthur Atta,fr FRA,MFFW,Udinese,21,2003,13.9,5,0,0,15,14,1,24,7,10,,,0,Matches,d3ddf88b
28,Emil Audero,id IDN,GK,Como,27,1997,8.0,0,0,0,0,1,0,0,0,0,,,0,Matches,649b01d8
29,Tommaso Augello,it ITA,MFDF,Cagliari,29,1994,30.1,3,0,0,15,11,3,208,14,27,,,0,Matches,3cd3b384
30,Carlos Augusto,br BRA,DFMF,Inter,25,1999,18.8,1,0,0,10,12,3,21,11,14,,,0,Matches,8d3cd59d
31,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,18.3,4,0,0,16,9,1,8,18,13,,,0,Matches,3963c25b
32,Paulo Azzi,br BRA,MF,Cagliari,30,1994,4.7,2,0,0,5,3,0,22,4,9,,,0,Matches,967ac202
33,Oussama El Azzouzi,ma MAR,MF,Bologna,23,2001,0.2,0,0,0,0,2,0,0,2,0,,,0,Matches,85f476cc
34,Jacopo Bacci,it ITA,MF,Empoli,19,2005,0.3,0,0,0,0,1,0,0,1,0,,,0,Matches,9ce30308
35,Milan Badelj,hr CRO,MF,Genoa,35,1989,16.4,2,0,0,18,19,0,5,22,16,,,0,Matches,e8c930bb
36,Mitchel Bakker,nl NED,DFMF,Atalanta,24,2000,0.2,0,0,0,1,0,0,1,0,0,,,0,Matches,a8567629
37,Tommaso Baldanzi,it ITA,MFFW,Roma,21,2003,9.2,2,0,0,7,16,0,6,6,6,,,0,Matches,102e2599
38,Keita Baldé,sn SEN,FW,Monza,29,1995,7.1,2,0,0,7,23,3,6,2,1,,,0,Matches,509a4ccb
39,Botond Balogh,hu HUN,DF,Parma,22,2002,22.8,5,0,0,17,7,0,1,25,17,,,0,Matches,348bafd4
40,Mario Balotelli,it ITA,FW,Genoa,33,1990,0.7,2,0,0,2,2,0,3,0,0,,,0,Matches,8ff07990
41,Lameck Banda,zm ZAM,MFFW,Lecce,23,2001,6.8,1,0,0,10,20,2,23,3,5,,,0,Matches,8a6de8c7
42,Daniel Bandeira,pt POR,MF,Hellas Verona,24,2000,4.5,1,0,0,4,4,0,8,5,0,,,0,Matches,56fca564
43,Mattia Bani,it ITA,DF,Genoa,30,1993,16.7,3,0,0,7,11,1,4,21,11,,,0,Matches,0821331c
44,Antonín Barák,cz CZE,MF,Fiorentina,29,1994,0.6,0,0,0,0,0,0,1,0,0,,,0,Matches,01efac19
45,Federico Barba,it ITA,DF,Como,30,1993,4.8,0,0,0,3,1,0,3,4,2,,,0,Matches,c010b898
46,Nicolò Barella,it ITA,MF,Inter,27,1997,27.7,4,0,0,25,33,4,67,12,31,,,0,Matches,6928979a
47,Davide Bartesaghi,it ITA,DF,Milan,18,2005,1.3,0,1,0,1,0,1,10,3,2,,,0,Matches,7e0b6c50
48,Federico Baschirotto,it ITA,DF,Lecce,27,1996,38.0,3,0,0,31,7,0,5,22,26,,,0,Matches,5a08ee41
49,Daniele Baselli,it ITA,MF,Como,32,1992,0.2,0,0,0,0,1,0,0,1,0,,,0,Matches,ea06dd97
50,Alessandro Bastoni,it ITA,DF,Inter,25,1999,26.7,6,1,1,44,39,1,62,23,23,,,0,Matches,75b86fb3
51,Reda Belahyane,ma MAR,MF,Hellas Verona,20,2004,18.4,6,1,1,31,9,0,3,10,26,,,0,Matches,705a1642
52,Reda Belahyane,ma MAR,MF,Lazio,20,2004,2.2,0,1,0,4,1,0,0,1,6,,,0,Matches,705a1642
53,Raoul Bellanova,it ITA,MF,Atalanta,24,2000,26.7,3,0,0,15,33,0,155,19,13,,,0,Matches,e3756e72
54,Raoul Bellanova,it ITA,MF,Torino,24,2000,1.0,0,0,0,1,1,0,5,0,0,,,0,Matches,e3756e72
55,Andrea Belotti,it ITA,FW,Como,30,1993,6.6,1,0,0,9,19,5,5,1,5,,,0,Matches,d705ba44
56,Lucas Beltrán,ar ARG,MFFW,Fiorentina,23,2001,21.7,6,0,0,32,50,4,7,5,11,,,0,Matches,482d2bc3
57,Adrian Benedyczak,pl POL,MF,Parma,23,2000,2.4,0,0,0,4,5,1,1,0,0,,,0,Matches,3f448184
58,Ismaël Bennacer,dz ALG,MF,Milan,26,1997,3.3,2,0,0,5,5,0,6,3,4,,,0,Matches,db092d3b
59,Medon Berisha,al ALB,MF,Lecce,20,2003,8.0,5,0,0,16,11,0,29,11,8,,,0,Matches,9d376bef
60,Adrian Bernabe,es ESP,MF,Parma,23,2001,16.1,1,0,0,9,36,0,29,7,19,,,0,Matches,548672b4
61,Antoine Bernede,fr FRA,MF,Hellas Verona,25,1999,6.6,2,0,0,16,4,0,14,5,8,,,0,Matches,07a821e4
62,Sam Beukema,nl NED,DF,Bologna,25,1998,33.5,1,0,0,28,36,2,8,30,28,,,0,Matches,de13cee5
63,Alessandro Bianco,it ITA,MF,Monza,21,2002,28.9,9,0,0,43,55,3,23,24,29,,,0,Matches,d65cf468
64,Alessandro Bianco,it ITA,MF,Fiorentina,21,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,d65cf468
65,Jaka Bijol,si SVN,DF,Udinese,25,1999,32.9,13,1,1,49,8,2,2,36,26,,,1,Matches,6fdac234
66,Philip Billing,dk DEN,MF,Napoli,28,1996,2.2,1,0,0,10,1,0,2,4,6,,,0,Matches,d328a254
67,Cristiano Biraghi,it ITA,DF,Torino,31,1992,12.9,0,0,0,9,12,2,106,7,10,,,1,Matches,9e1577aa
68,Cristiano Biraghi,it ITA,DFMF,Fiorentina,31,1992,4.8,1,0,0,4,7,0,30,4,4,,,0,Matches,9e1577aa
69,Samuele Birindelli,it ITA,MF,Monza,25,1999,16.3,2,0,0,16,15,5,65,10,14,,,0,Matches,204ac005
70,Bjarki Bjarkason,is ISL,MF,Venezia,24,2000,1.8,2,0,0,2,8,0,7,3,2,,,0,Matches,f1d25de7
71,Emil Bohinen,no NOR,MF,Genoa,25,1999,1.8,0,0,0,3,3,0,0,1,4,,,0,Matches,c83c203f
72,Warren Bondo,fr FRA,MF,Monza,20,2003,18.0,5,1,1,31,36,1,7,6,25,,,0,Matches,0def2376
73,Warren Bondo,fr FRA,MF,Milan,20,2003,1.8,1,0,0,1,4,0,1,0,3,,,0,Matches,0def2376
74,Kevin Bonifazi,it ITA,DF,Lecce,28,1996,0.7,0,0,0,0,0,0,0,3,1,,,0,Matches,fb77bfef
75,Ange-Yoan Bonny,ci CIV,FW,Parma,20,2003,28.1,2,0,0,20,47,14,14,3,18,,,0,Matches,64629ba4
76,Edoardo Bove,it ITA,MF,Fiorentina,22,2002,9.5,3,0,0,16,21,0,2,6,16,,,0,Matches,ae94a6c5
77,Domagoj Bradarić,hr CRO,MFDF,Hellas Verona,24,1999,21.5,6,0,0,21,14,3,79,16,30,,,0,Matches,8bbe2df5
78,Matthias Braunöder,at AUT,MF,Como,22,2002,3.0,3,1,1,10,5,0,0,2,4,,,0,Matches,bce728e1
79,Iker Bravo,es ESP,FW,Udinese,19,2005,7.6,3,0,0,12,10,2,8,1,5,,,0,Matches,db8c8860
80,Gleison Bremer,br BRA,DF,Juventus,27,1997,6.0,2,0,0,9,5,0,0,6,8,,,0,Matches,5fd5ed86
81,Brenner,br BRA,MFFW,Udinese,24,2000,4.3,0,0,0,0,5,0,11,1,4,,,0,Matches,279508bf
82,Marco Brescianini,it ITA,MF,Atalanta,24,2000,11.0,1,0,0,22,9,2,19,2,11,,,0,Matches,dfd56738
83,Arvid Brorsson,se SWE,DF,Monza,25,1999,4.0,0,0,0,1,4,0,0,2,3,,,0,Matches,9f2989f4
84,Tajon Buchanan,ca CAN,DFMF,Inter,25,1999,1.1,0,0,0,2,4,0,3,0,0,,,0,Matches,3aca6420
85,Alessandro Buongiorno,it ITA,DF,Napoli,25,1999,21.4,2,0,0,17,21,1,2,33,23,,,0,Matches,4ae67f27
86,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,20,2004,0.3,0,0,0,2,2,0,0,0,0,,,0,Matches,7c4b4e36
87,Gianluca Busio,us USA,MF,Venezia,22,2002,28.0,4,0,0,26,44,4,30,18,30,,,0,Matches,4a0b7f07
88,Jean Butez,fr FRA,GK,Como,29,1995,18.5,0,0,0,1,2,0,0,0,0,,,0,Matches,7f40333d
89,Liberato Cacace,nz NZL,MFDF,Empoli,23,2000,24.8,6,0,0,27,17,5,103,22,27,,,0,Matches,dd86e8e4
90,Alessio Cacciamani,it ITA,MF,Torino,17,2007,0.3,0,0,0,0,0,0,3,1,0,,,0,Matches,2028c5c3
91,Davide Calabria,it ITA,DF,Bologna,27,1996,7.0,3,0,0,7,5,0,16,4,7,,,0,Matches,2146785a
92,Davide Calabria,it ITA,DF,Milan,27,1996,3.5,0,0,0,3,4,0,16,8,7,,,0,Matches,2146785a
93,Luca Caldirola,it ITA,DF,Monza,33,1991,9.7,5,0,0,18,16,1,1,11,7,,,0,Matches,226008f1
94,Hakan Çalhanoğlu,tr TUR,MF,Inter,30,1994,21.6,5,0,0,22,13,0,122,19,22,,,0,Matches,cd0fa27b
95,Drissa Camara,ci CIV,FW,Parma,22,2002,5.0,3,0,0,17,17,1,5,4,7,,,0,Matches,543d9d2b
96,Francesco Camarda,it ITA,FW,Milan,16,2008,2.3,0,0,0,8,1,2,1,0,2,,,0,Matches,1956a64b
97,Nicolò Cambiaghi,it ITA,MFFW,Bologna,23,2000,6.9,0,0,0,9,34,0,47,1,8,,,0,Matches,91ff775f
98,Andrea Cambiaso,it ITA,DFMF,Juventus,24,2000,24.7,4,0,0,28,23,6,66,17,31,,,0,Matches,247ed022
99,Thomas Campaniello,it ITA,FW,Empoli,16,2008,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches,cb88e494
100,Matteo Cancellieri,it ITA,MFFW,Parma,22,2002,15.8,2,1,0,26,41,2,22,13,14,,,0,Matches,b6a1cdf9
101,Fali Candé,gw GNB,DF,Venezia,26,1998,17.0,4,0,0,24,21,0,7,16,19,,,0,Matches,3cc4bb19
102,Antonio Candela,it ITA,MFDF,Venezia,24,2000,11.2,2,0,0,15,5,0,21,8,21,,,1,Matches,d4307c52
103,Gianluca Caprari,it ITA,MFFW,Monza,31,1993,18.3,3,0,0,18,42,5,80,8,11,,,0,Matches,54e53b7e
104,Elia Caprile,it ITA,GK,Napoli,22,2001,3.6,0,0,0,0,0,0,0,0,0,,,0,Matches,97d7afbd
105,Elia Caprile,it ITA,GK,Cagliari,22,2001,18.0,0,0,0,0,6,0,0,0,0,,,0,Matches,97d7afbd
106,Francesco Caputo,it ITA,FW,Empoli,36,1987,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,5bd72174
107,Maxence Caqueret,fr FRA,MF,Como,24,2000,12.1,4,0,0,17,11,1,16,6,20,,,0,Matches,f81ef10d
108,Andrea Carboni,it ITA,DF,Monza,23,2001,24.3,5,0,0,29,17,0,15,27,32,,,0,Matches,f7e2af2c
109,Franco Carboni,it ITA,MF,Venezia,21,2003,2.5,2,0,0,3,2,0,8,0,4,,,0,Matches,b033f803
110,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34.0,1,0,0,0,5,0,0,0,0,,,0,Matches,8ec56e62
111,Cesare Casadei,it ITA,MF,Torino,21,2003,11.3,1,0,0,16,10,0,2,5,5,,,0,Matches,fb920f3a
112,Nicolò Casale,it ITA,DF,Bologna,26,1998,10.0,1,0,0,23,8,0,0,20,4,,,1,Matches,3f5f38fb
113,Nicolò Casale,it ITA,DF,Lazio,26,1998,1.5,0,0,0,2,0,0,0,1,3,,,0,Matches,3f5f38fb
114,Federico Cassa,it ITA,MF,Atalanta,18,2006,0.2,0,0,0,2,1,0,0,0,0,,,0,Matches,5f209d47
115,Valentín Castellanos,ar ARG,FW,Lazio,25,1998,26.5,9,1,0,38,42,17,25,8,6,,,0,Matches,da76bab4
116,Santiago Castro,ar ARG,FW,Bologna,19,2004,25.5,7,0,0,49,53,9,9,3,10,,,1,Matches,ee5565ae
117,Gaetano Castrovilli,it ITA,MF,Monza,27,1997,6.6,0,0,0,8,7,2,14,2,7,,,0,Matches,0728bebe
118,Gaetano Castrovilli,it ITA,MF,Lazio,27,1997,1.6,0,0,0,4,1,0,0,3,2,,,0,Matches,0728bebe
119,Danilo Cataldi,it ITA,MF,Fiorentina,29,1994,19.2,1,0,0,15,22,0,21,23,18,,,0,Matches,ba3d3bea
120,Zeki Çelik,tr TUR,DFMF,Roma,27,1997,25.1,5,0,0,31,10,0,42,12,37,,,0,Matches,31a62dc7
121,Alberto Cerri,it ITA,FW,Como,28,1996,1.0,0,0,0,3,1,2,0,0,0,,,0,Matches,1079c685
122,Gabriel Charpentier,cg CGO,FW,Parma,25,1999,3.0,1,0,0,13,10,0,2,0,3,,,0,Matches,c52bea9e
123,Walid Cheddira,ma MAR,FW,Napoli,26,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,0545a08e
124,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,8d957256
125,Samuel Chukwueze,ng NGA,MFFW,Milan,25,1999,10.3,0,0,0,3,10,3,49,2,11,,,0,Matches,b8a642fc
126,Aaron Ciammaglichella,it ITA,MF,Torino,19,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,20525799
127,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,d6416327
128,Alessandro Circati,au AUS,DF,Parma,20,2003,6.0,1,0,0,4,5,0,0,4,5,,,0,Matches,1223765c
129,Alphadjo Cissè,it ITA,MF,Hellas Verona,17,2006,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,d079becb
130,Patrick Ciurria,it ITA,MF,Monza,29,1995,12.3,1,0,0,17,11,1,61,8,15,,,0,Matches,5de3866c
131,Saúl Coco,gq EQG,DF,Torino,25,1999,31.6,10,0,0,53,19,0,2,36,27,,,1,Matches,d0ee1652
132,Lorenzo Colombo,it ITA,FWMF,Empoli,22,2002,24.8,5,1,1,46,41,6,10,3,15,,,0,Matches,04df29a5
133,Andrea Colpani,it ITA,MF,Fiorentina,25,1999,16.1,1,0,0,22,24,1,33,9,8,,,0,Matches,6499048c
134,Florinel Coman,ro ROU,MFFW,Cagliari,26,1998,2.9,2,0,0,8,9,0,2,1,3,,,0,Matches,a9440c25
135,Pietro Comuzzo,it ITA,DF,Fiorentina,19,2005,24.4,5,0,0,25,12,0,3,27,19,,,0,Matches,5e3ecc35
136,Francisco Conceição,pt POR,MF,Juventus,21,2002,14.9,5,1,1,24,36,4,62,6,15,,,0,Matches,5ef3d210
137,Diego Coppola,it ITA,DF,Hellas Verona,20,2003,32.5,10,0,0,44,0,0,0,66,38,,,0,Matches,22ae86f9
138,Maxwel Cornet,ci CIV,MF,Genoa,27,1996,2.7,0,0,0,0,1,1,8,2,1,,,0,Matches,beb391dd
139,Joaquín Correa,ar ARG,FWMF,Inter,29,1994,8.1,3,0,0,8,14,2,8,0,5,,,0,Matches,45b9b619
140,Alberto costa,pt POR,DFMF,Juventus,20,2003,4.0,3,0,0,8,2,0,3,4,10,,,0,Matches,4d36e5ae
141,Lassana Coulibaly,ml MLI,MF,Lecce,28,1996,29.6,3,0,0,39,44,0,12,19,34,,,0,Matches,85a44ecc
142,Woyo Coulibaly,ml MLI,DF,Parma,25,1999,12.0,1,1,0,12,12,1,5,9,9,,,1,Matches,beb6e3a6
143,Bryan Cristante,it ITA,MF,Roma,29,1995,22.7,8,0,0,37,9,0,15,18,29,,,0,Matches,16657b95
144,Domen Črnigoj,si SVN,MF,Venezia,28,1995,1.5,0,0,0,2,4,0,2,4,2,,,0,Matches,22cd43d2
145,Juan Cuadrado,co COL,MFFW,Atalanta,36,1988,9.2,3,0,0,9,27,0,56,7,9,,,0,Matches,0ab1f153
146,Patrick Cutrone,it ITA,FW,Como,26,1998,22.7,1,0,0,23,28,20,30,5,9,,,0,Matches,a4fe8cda
147,Wylan Cyprien,fr FRA,MF,Parma,29,1995,0.3,0,0,0,0,0,0,0,2,0,,,0,Matches,3e092724
148,Danilo D'Ambrosio,it ITA,DF,Monza,35,1988,12.2,2,1,0,18,11,3,9,14,16,,,0,Matches,44eb9093
149,Lucas Da Cunha,fr FRA,MF,Como,23,2001,29.0,4,0,0,21,29,1,101,16,26,,,0,Matches,007faf7a
150,Samuel Dahl,se SWE,DF,Roma,21,2003,0.5,0,0,0,2,0,0,1,0,2,,,0,Matches,bbe7d20b
151,Thijs Dallinga,nl NED,FW,Bologna,23,2000,12.8,1,0,0,24,17,8,2,1,6,,,0,Matches,b70afb45
152,Maat Daniel Caprini,it ITA,FW,Fiorentina,18,2006,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches,183934cd
153,Flavius Daniliuc,at AUT,DF,Hellas Verona,23,2001,11.2,0,0,0,12,2,0,6,6,20,,,0,Matches,7ef972c3
154,Danilo,br BRA,DF,Juventus,33,1991,6.5,2,0,0,11,1,0,3,9,4,,,0,Matches,94b2001f
155,Matteo Darmian,it ITA,MFDF,Inter,34,1989,19.8,3,0,0,26,19,5,32,10,20,,,1,Matches,96e0490d
156,Juan David Cabal,co COL,DF,Juventus,23,2001,5.1,0,0,0,7,10,1,7,2,4,,,0,Matches,ef6eef89
157,Keinan Davis,eng ENG,FW,Udinese,26,1998,11.8,2,0,0,24,12,8,3,1,5,,,0,Matches,9deaf2c8
158,Paweł Dawidowicz,pl POL,DFMF,Hellas Verona,29,1995,20.5,7,1,0,36,11,0,0,21,22,,,0,Matches,16bb656a
159,Charles De Ketelaere,be BEL,MFFW,Atalanta,23,2001,23.0,1,0,0,22,39,2,54,3,9,,,0,Matches,2ef7c612
160,Mattia De Sciglio,it ITA,DF,Empoli,31,1992,8.5,0,0,0,8,5,0,7,10,13,,,0,Matches,ae4e2852
161,Lorenzo De Silvestri,it ITA,DF,Bologna,36,1988,11.8,1,0,0,17,8,1,23,9,6,,,0,Matches,e74f0e59
162,Koni De Winter,be BEL,DF,Genoa,22,2002,23.7,6,0,0,43,13,1,3,27,19,,,0,Matches,f4797849
163,Alessandro Deiola,it ITA,MF,Cagliari,28,1995,15.9,6,0,0,32,11,0,14,13,20,,,0,Matches,7f267d66
164,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,23,2001,10.5,0,0,0,8,4,0,7,3,7,,,0,Matches,121a4fb8
165,Enrico Delprato,it ITA,DFMF,Parma,24,1999,32.7,8,0,0,20,17,0,16,17,17,,,0,Matches,4c6f9258
166,Ali Dembélé,fr FRA,DF,Torino,20,2004,4.3,4,1,1,9,7,0,7,1,5,,,0,Matches,eb3df7d9
167,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33.0,0,0,0,0,7,0,0,1,0,,,0,Matches,4e0c8d66
168,Giovanni Di Lorenzo,it ITA,DF,Napoli,30,1993,37.0,6,0,0,46,52,5,63,31,43,,,0,Matches,230a2fac
169,Boulaye Dia,sn SEN,MFFW,Lazio,27,1996,24.2,2,0,0,23,24,3,2,7,10,,,0,Matches,244bc2c8
170,Assane Diao,sn SEN,MFFW,Como,18,2005,13.9,2,0,0,20,49,6,12,2,14,,,0,Matches,8ae7d0ec
171,Federico Dimarco,it ITA,MF,Inter,26,1997,24.2,3,0,0,19,11,8,192,14,15,,,0,Matches,970b8574
172,Berat Djimsiti,al ALB,DF,Atalanta,31,1993,29.3,6,0,0,23,21,0,11,41,34,,,1,Matches,6eee05f1
173,Dodô,br BRA,DFMF,Fiorentina,25,1998,34.6,8,0,0,23,62,3,143,36,29,,,0,Matches,b5f7d10b
174,Benjamín Domínguez,ar ARG,MF,Bologna,20,2003,14.2,0,0,0,10,31,4,11,4,8,,,0,Matches,a83b47fa
175,Patrick Dorgu,dk DEN,MFDF,Lecce,19,2004,20.4,2,1,0,24,55,4,40,18,29,,,1,Matches,e6536124
176,Alberto Dossena,it ITA,DF,Como,25,1998,20.3,1,1,0,22,16,0,1,22,20,,,0,Matches,61efb926
177,Issa Doumbia,it ITA,MF,Venezia,20,2003,10.4,0,0,0,18,12,0,10,9,8,,,0,Matches,b74fc282
178,Anastasios Douvikas,gr GRE,FW,Como,24,1999,6.4,1,0,0,13,17,1,2,1,2,,,0,Matches,853ca71c
179,Artem Dovbyk,ua UKR,FW,Roma,27,1997,26.9,0,0,0,30,16,22,1,2,1,,,0,Matches,5b847bb0
180,Ondrej Duda,sk SVK,MF,Hellas Verona,29,1994,26.6,12,1,1,51,57,0,89,28,27,,,0,Matches,79ca3e23
181,Denzel Dumfries,nl NED,MF,Inter,28,1996,21.7,4,0,0,53,18,6,56,7,19,,,0,Matches,481c9ece
182,Alfred Duncan,gh GHA,MF,Venezia,31,1993,10.6,2,0,0,22,11,0,17,7,9,,,0,Matches,528492ea
183,Paulo Dybala,ar ARG,FWMF,Roma,30,1993,15.7,2,0,0,6,60,6,62,2,7,,,0,Matches,e0921a4f
184,Enzo Ebosse,cm CMR,DF,Udinese,25,1999,1.0,1,0,0,1,0,0,0,1,0,,,0,Matches,9ba7b4fa
185,Tyronne Ebuehi,ng NGA,DF,Empoli,28,1995,0.8,0,0,0,0,2,0,2,2,2,,,0,Matches,6af30900
186,Kingsley Ehizibue,nl NED,MFDF,Udinese,29,1995,27.8,5,0,0,33,33,5,60,23,35,,,0,Matches,76b2817e
187,Jeff Ekhator,it ITA,FWMF,Genoa,17,2006,8.5,1,0,0,15,13,3,10,2,4,,,0,Matches,faf739d2
188,Jurgen Ekkelenkamp,nl NED,MF,Udinese,24,2000,21.0,2,0,0,29,14,2,13,12,25,,,0,Matches,73d6a176
189,Emmanuel Ekong,se SWE,FW,Empoli,22,2002,2.1,1,0,0,3,5,1,0,1,3,,,0,Matches,c20892ee
190,Caleb Ekuban,gh GHA,FW,Genoa,30,1994,6.2,1,0,0,15,9,5,3,1,3,,,0,Matches,7afbd2c3
191,Mikael Ellertsson,is ISL,MF,Venezia,22,2002,27.4,2,0,0,22,43,2,28,15,27,,,0,Matches,c55967eb
192,Elif Elmas,mk MKD,MFFW,Torino,24,1999,11.3,0,0,0,13,14,2,23,4,8,,,0,Matches,cf007308
193,Emerson,br BRA,DF,Milan,25,1999,15.3,5,0,0,34,32,0,45,15,29,,,0,Matches,df8b52a5
194,Yannik Engelhardt,de GER,MFDF,Como,23,2001,12.9,4,0,0,22,20,1,1,13,14,,,0,Matches,fac66db3
195,Martin Erlić,hr CRO,DF,Bologna,26,1998,3.7,0,0,0,7,7,0,0,2,0,,,0,Matches,0fee6bda
196,Sebastiano Esposito,it ITA,FWMF,Empoli,22,2002,25.9,1,0,0,47,56,10,55,11,29,,,0,Matches,7ff93107
197,Estanis,es ESP,FW,Bologna,20,2003,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,ace50e9f
198,Nahuel Estévez,ar ARG,MF,Parma,28,1995,7.3,3,0,0,9,9,0,15,3,7,,,0,Matches,cec60a2f
199,Giovanni Fabbian,it ITA,MF,Bologna,21,2003,11.4,2,0,0,21,22,1,8,2,6,,,0,Matches,f97f9188
200,Alieu Fadera,gm GAM,MF,Como,22,2001,18.3,2,1,0,40,50,14,39,12,47,,,0,Matches,53210e42
201,Nicolò Fagioli,it ITA,MF,Juventus,23,2001,6.3,4,0,0,11,5,0,13,2,10,,,0,Matches,366be751
202,Nicolò Fagioli,it ITA,MF,Fiorentina,23,2001,10.7,0,0,0,8,14,0,27,5,10,,,0,Matches,366be751
203,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38.0,2,0,0,1,11,0,0,1,0,,,0,Matches,9f5a610b
204,Davide Faraoni,it ITA,MFDF,Hellas Verona,32,1991,2.9,1,0,0,7,1,2,12,2,9,,,0,Matches,aae9d04a
205,Jacopo Fazzini,it ITA,MF,Empoli,21,2003,15.4,1,1,0,23,32,4,32,7,19,,,0,Matches,06b08c45
206,Mattia Felici,it ITA,MF,Cagliari,23,2001,10.3,1,0,0,18,17,4,25,5,13,,,0,Matches,38aa2612
